"Sample","Year","Month","Location","Sex","GSI","fLocation","fSex"
"111",111,1,5,1,1,2.3714,"1","M"
"112",112,1,6,1,1,2.3496,"1","M"
"113",113,1,6,1,1,2.3495,"1","M"
"114",114,1,5,1,1,2.3282,"1","M"
"115",115,1,5,1,1,2.3251,"1","M"
"116",116,1,5,1,1,2.322,"1","M"
"117",117,1,6,1,1,2.3018,"1","M"
"118",118,1,5,1,1,2.3011,"1","M"
"119",119,1,5,3,1,2.3,"3","M"
"120",120,1,6,1,1,2.286,"1","M"
"121",121,1,5,3,1,2.2739,"3","M"
"122",122,1,5,1,1,2.2397,"1","M"
"123",123,1,5,1,1,2.2392,"1","M"
"124",124,1,5,1,1,2.2346,"1","M"
"125",125,1,5,3,1,2.2333,"3","M"
"126",126,1,5,1,1,2.2233,"1","M"
"127",127,1,5,1,1,2.2004,"1","M"
"128",128,1,5,1,1,2.187,"1","M"
"129",129,1,5,3,1,2.1861,"3","M"
"130",130,1,6,1,1,2.1664,"1","M"
"132",132,1,3,3,1,2.1571,"3","M"
"133",133,1,6,1,1,2.1351,"1","M"
"134",134,1,5,1,1,2.1322,"1","M"
"135",135,1,5,1,1,2.0922,"1","M"
"136",136,1,5,1,1,2.0816,"1","M"
"137",137,1,4,3,1,2.0776,"3","M"
"138",138,1,5,1,1,2.0694,"1","M"
"139",139,1,5,1,1,2.0692,"1","M"
"140",140,1,5,1,1,2.0688,"1","M"
"141",141,1,5,1,1,2.058,"1","M"
"142",142,1,5,3,1,2.0413,"3","M"
"143",143,1,3,3,1,2.0259,"3","M"
"144",144,1,5,3,1,2.0219,"3","M"
"145",145,1,6,1,1,2.0017,"1","M"
"146",146,1,5,1,1,1.9842,"1","M"
"147",147,1,5,1,1,1.9821,"1","M"
"148",148,1,4,3,1,1.9814,"3","M"
"149",149,1,4,3,1,1.9621,"3","M"
"150",150,1,5,3,1,1.9606,"3","M"
"151",151,1,5,3,1,1.9531,"3","M"
"152",152,1,4,3,1,1.9021,"3","M"
"153",153,1,6,1,1,1.8667,"1","M"
"154",154,1,4,3,1,1.8623,"3","M"
"155",155,1,5,1,1,1.8468,"1","M"
"156",156,1,5,3,1,1.8295,"3","M"
"157",157,1,6,1,1,1.8123,"1","M"
"158",158,1,5,1,1,1.7984,"1","M"
"159",159,1,4,3,1,1.7695,"3","M"
"161",161,1,4,3,1,1.7217,"3","M"
"162",162,1,6,1,1,1.7187,"1","M"
"163",163,1,6,1,1,1.6963,"1","M"
"164",164,1,5,1,1,1.6953,"1","M"
"165",165,1,5,1,1,1.6927,"1","M"
"166",166,1,5,1,1,1.6779,"1","M"
"167",167,1,3,3,1,1.6679,"3","M"
"168",168,1,5,1,1,1.6669,"1","M"
"169",169,1,5,3,1,1.616,"3","M"
"170",170,1,4,3,1,1.6157,"3","M"
"171",171,1,3,1,1,1.6,"1","M"
"173",173,1,5,1,1,1.5658,"1","M"
"174",174,1,4,3,1,1.5652,"3","M"
"175",175,1,5,1,1,1.5375,"1","M"
"176",176,1,4,3,1,1.5303,"3","M"
"177",177,1,5,3,1,1.5284,"3","M"
"180",180,1,5,1,1,1.5011,"1","M"
"183",183,1,4,3,1,1.4546,"3","M"
"185",185,1,3,1,1,1.4418,"1","M"
"187",187,1,5,1,1,1.4348,"1","M"
"188",188,1,3,1,1,1.4332,"1","M"
"189",189,1,4,3,1,1.4224,"3","M"
"190",190,1,5,1,1,1.3878,"1","M"
"191",191,1,3,1,1,1.3794,"1","M"
"192",192,1,3,3,1,1.3694,"3","M"
"194",194,1,3,1,1,1.3306,"1","M"
"195",195,1,3,3,1,1.3258,"3","M"
"196",196,1,2,1,1,1.309,"1","M"
"197",197,1,5,1,1,1.2717,"1","M"
"198",198,1,1,1,1,1.261,"1","M"
"199",199,1,5,1,1,1.2585,"1","M"
"200",200,1,5,1,1,1.2556,"1","M"
"201",201,1,5,1,1,1.2392,"1","M"
"202",202,1,3,3,1,1.2091,"3","M"
"203",203,1,3,3,1,1.2007,"3","M"
"204",204,1,1,1,1,1.1997,"1","M"
"205",205,1,3,1,1,1.1983,"1","M"
"206",206,1,6,3,1,1.181,"3","M"
"207",207,1,5,1,1,1.1784,"1","M"
"208",208,1,3,3,1,1.1496,"3","M"
"209",209,1,2,1,1,1.147,"1","M"
"210",210,1,5,1,1,1.1318,"1","M"
"211",211,1,3,3,1,1.1313,"3","M"
"214",214,1,3,3,1,1.0964,"3","M"
"217",217,1,3,1,1,1.0419,"1","M"
"221",221,1,3,1,1,1.0226,"1","M"
"222",222,1,5,1,1,1.0218,"1","M"
"223",223,1,3,3,1,1.0215,"3","M"
"225",225,1,5,1,1,0.9874,"1","M"
"227",227,1,4,3,1,0.9868,"3","M"
"228",228,1,2,1,1,0.9824,"1","M"
"229",229,1,5,1,1,0.968,"1","M"
"231",231,1,3,1,1,0.9479,"1","M"
"232",232,1,4,3,1,0.9418,"3","M"
"234",234,1,2,1,1,0.9219,"1","M"
"235",235,1,3,3,1,0.9172,"3","M"
"236",236,1,4,3,1,0.9,"3","M"
"237",237,1,4,3,1,0.8954,"3","M"
"238",238,1,3,1,1,0.8877,"1","M"
"239",239,1,5,1,1,0.8876,"1","M"
"240",240,1,5,1,1,0.8761,"1","M"
"242",242,1,5,1,1,0.8567,"1","M"
"244",244,1,1,1,1,0.8373,"1","M"
"245",245,1,5,1,1,0.8111,"1","M"
"246",246,1,3,3,1,0.799,"3","M"
"249",249,1,3,3,1,0.7294,"3","M"
"250",250,1,3,1,1,0.7004,"1","M"
"251",251,1,3,3,1,0.6882,"3","M"
"252",252,1,3,1,1,0.6839,"1","M"
"253",253,1,3,3,1,0.6767,"3","M"
"254",254,1,5,1,1,0.6748,"1","M"
"256",256,1,4,3,1,0.66,"3","M"
"257",257,1,3,3,1,0.6459,"3","M"
"262",262,1,4,3,1,0.5876,"3","M"
"263",263,1,4,3,1,0.5798,"3","M"
"265",265,1,2,1,1,0.5685,"1","M"
"267",267,1,3,1,1,0.556,"1","M"
"268",268,1,5,1,1,0.5558,"1","M"
"269",269,1,5,1,1,0.5556,"1","M"
"270",270,1,3,1,1,0.5533,"1","M"
"271",271,1,1,3,1,0.5518,"3","M"
"272",272,1,3,1,1,0.5493,"1","M"
"274",274,1,3,3,1,0.5444,"3","M"
"275",275,1,2,1,1,0.5318,"1","M"
"276",276,1,3,1,1,0.5307,"1","M"
"277",277,1,6,1,1,0.5175,"1","M"
"278",278,1,4,3,1,0.4943,"3","M"
"279",279,1,1,1,1,0.4921,"1","M"
"280",280,1,3,3,1,0.4832,"3","M"
"281",281,1,1,1,1,0.4808,"1","M"
"282",282,1,3,1,1,0.4774,"1","M"
"283",283,1,2,3,1,0.4756,"3","M"
"284",284,1,3,1,1,0.4653,"1","M"
"285",285,1,5,1,1,0.4506,"1","M"
"286",286,1,6,1,1,0.4377,"1","M"
"287",287,1,4,3,1,0.4259,"3","M"
"288",288,1,2,3,1,0.4132,"3","M"
"289",289,1,4,3,1,0.3976,"3","M"
"290",290,1,3,1,1,0.3905,"1","M"
"291",291,1,3,3,1,0.3904,"3","M"
"297",297,1,4,3,1,0.343,"3","M"
"298",298,1,3,1,1,0.3421,"1","M"
"302",302,1,1,1,1,0.3289,"1","M"
"304",304,1,2,1,1,0.3122,"1","M"
"306",306,1,4,3,1,0.3041,"3","M"
"307",307,1,3,1,1,0.3039,"1","M"
"308",308,1,3,1,1,0.3028,"1","M"
"310",310,1,3,1,1,0.2895,"1","M"
"312",312,1,2,3,1,0.287,"3","M"
"317",317,1,1,1,1,0.2758,"1","M"
"318",318,1,3,3,1,0.2739,"3","M"
"319",319,1,2,3,1,0.2738,"3","M"
"320",320,1,2,3,1,0.2683,"3","M"
"321",321,1,3,3,1,0.265,"3","M"
"327",327,1,2,3,1,0.2577,"3","M"
"328",328,1,2,3,1,0.2529,"3","M"
"329",329,1,1,1,1,0.2506,"1","M"
"330",330,1,3,3,1,0.2463,"3","M"
"332",332,1,3,3,1,0.2352,"3","M"
"337",337,1,3,1,1,0.2252,"1","M"
"338",338,1,5,1,1,0.2242,"1","M"
"340",340,1,2,1,1,0.2214,"1","M"
"341",341,1,2,1,1,0.2207,"1","M"
"342",342,1,2,1,1,0.2204,"1","M"
"346",346,1,2,3,1,0.2189,"3","M"
"353",353,1,3,1,1,0.2065,"1","M"
"354",354,1,3,3,1,0.2061,"3","M"
"358",358,1,3,3,1,0.2028,"3","M"
"359",359,1,2,1,1,0.2024,"1","M"
"360",360,1,2,3,1,0.1985,"3","M"
"363",363,1,4,3,1,0.1935,"3","M"
"364",364,1,3,3,1,0.1893,"3","M"
"365",365,1,3,3,1,0.1892,"3","M"
"366",366,1,3,3,1,0.1887,"3","M"
"367",367,1,3,1,1,0.1875,"1","M"
"368",368,1,2,1,1,0.1859,"1","M"
"371",371,1,2,3,1,0.1827,"3","M"
"376",376,1,5,1,1,0.175,"1","M"
"378",378,1,4,3,1,0.1681,"3","M"
"381",381,1,1,3,1,0.1661,"3","M"
"382",382,1,2,1,1,0.1657,"1","M"
"383",383,1,2,3,1,0.1654,"3","M"
"385",385,1,2,1,1,0.1621,"1","M"
"388",388,1,2,1,1,0.1611,"1","M"
"389",389,1,2,1,1,0.1589,"1","M"
"391",391,1,2,1,1,0.1555,"1","M"
"392",392,1,2,1,1,0.1549,"1","M"
"393",393,1,1,1,1,0.1543,"1","M"
"394",394,1,1,1,1,0.1541,"1","M"
"399",399,1,3,1,1,0.1492,"1","M"
"410",410,1,2,1,1,0.1402,"1","M"
"411",411,1,2,3,1,0.1401,"3","M"
"412",412,1,2,1,1,0.14,"1","M"
"415",415,1,2,1,1,0.1395,"1","M"
"417",417,1,2,1,1,0.139,"1","M"
"421",421,1,3,1,1,0.1347,"1","M"
"423",423,1,2,1,1,0.1344,"1","M"
"424",424,1,1,1,1,0.134,"1","M"
"427",427,1,1,1,1,0.133,"1","M"
"431",431,1,1,1,1,0.1316,"1","M"
"435",435,1,2,1,1,0.1261,"1","M"
"436",436,1,2,1,1,0.1261,"1","M"
"437",437,1,2,1,1,0.1239,"1","M"
"440",440,1,3,1,1,0.1212,"1","M"
"444",444,1,3,3,1,0.1186,"3","M"
"445",445,1,2,1,1,0.1181,"1","M"
"448",448,1,1,1,1,0.1162,"1","M"
"449",449,1,2,1,1,0.1121,"1","M"
"451",451,1,4,3,1,0.1079,"3","M"
"453",453,1,1,1,1,0.1069,"1","M"
"456",456,1,1,1,1,0.1061,"1","M"
"459",459,1,2,3,1,0.1014,"3","M"
"461",461,1,1,1,1,0.0987,"1","M"
"462",462,1,1,1,1,0.0969,"1","M"
"466",466,1,2,1,1,0.0929,"1","M"
"467",467,1,2,3,1,0.0928,"3","M"
"471",471,1,2,1,1,0.0907,"1","M"
"474",474,1,1,3,1,0.0888,"3","M"
"476",476,1,2,3,1,0.0881,"3","M"
"477",477,1,2,1,1,0.0877,"1","M"
"479",479,1,1,1,1,0.0866,"1","M"
"481",481,1,2,1,1,0.0827,"1","M"
"482",482,1,2,3,1,0.0817,"3","M"
"483",483,1,2,1,1,0.0817,"1","M"
"488",488,1,1,1,1,0.079,"1","M"
"491",491,1,3,1,1,0.0774,"1","M"
"494",494,1,1,1,1,0.0738,"1","M"
"499",499,1,1,1,1,0.0711,"1","M"
"506",506,1,1,1,1,0.0647,"1","M"
"515",515,1,2,1,1,0.0554,"1","M"
"518",518,1,2,1,1,0.053,"1","M"
"519",519,1,1,3,1,0.0526,"3","M"
"527",527,1,1,3,1,0.047,"3","M"
"535",535,1,1,1,1,0.0375,"1","M"
"537",537,1,1,3,1,0.0334,"3","M"
"539",539,1,1,1,1,0.0276,"1","M"
"542",542,1,4,3,1,0.0218,"3","M"
"543",543,1,2,1,1,0.019,"1","M"
"544",544,1,6,1,1,0.0167,"1","M"
"545",545,1,5,1,1,0.0131,"1","M"
"763",763,2,10,1,1,4.2144,"1","M"
"765",765,2,11,1,1,4.1906,"1","M"
"771",771,2,11,1,1,3.8598,"1","M"
"773",773,2,9,1,1,3.804,"1","M"
"778",778,2,8,1,1,3.5826,"1","M"
"785",785,2,8,1,1,3.3895,"1","M"
"786",786,2,8,1,1,3.3839,"1","M"
"787",787,2,8,1,1,3.3324,"1","M"
"788",788,2,6,1,1,3.2799,"1","M"
"789",789,2,4,1,1,3.2536,"1","M"
"790",790,2,6,1,1,3.2492,"1","M"
"791",791,2,6,1,1,3.2383,"1","M"
"792",792,2,8,1,1,3.2333,"1","M"
"793",793,2,11,1,1,3.2161,"1","M"
"794",794,2,8,1,1,3.1991,"1","M"
"795",795,2,5,1,1,3.1264,"1","M"
"796",796,2,11,1,1,3.1242,"1","M"
"799",799,2,10,1,1,3.0116,"1","M"
"800",800,2,8,1,1,2.9792,"1","M"
"802",802,2,6,1,1,2.9531,"1","M"
"803",803,2,8,1,1,2.9504,"1","M"
"805",805,2,6,1,1,2.8932,"1","M"
"807",807,2,6,1,1,2.8892,"1","M"
"808",808,2,6,1,1,2.865,"1","M"
"809",809,2,7,3,1,2.8257,"3","M"
"810",810,2,6,1,1,2.8067,"1","M"
"811",811,2,8,1,1,2.7965,"1","M"
"813",813,2,5,1,1,2.7649,"1","M"
"814",814,2,5,1,1,2.7588,"1","M"
"815",815,2,8,1,1,2.7189,"1","M"
"816",816,2,11,1,1,2.7134,"1","M"
"817",817,2,6,1,1,2.7084,"1","M"
"818",818,2,4,1,1,2.7035,"1","M"
"819",819,2,5,3,1,2.7023,"3","M"
"820",820,2,6,3,1,2.6864,"3","M"
"821",821,2,4,3,1,2.6559,"3","M"
"822",822,2,6,1,1,2.6494,"1","M"
"823",823,2,8,1,1,2.6463,"1","M"
"824",824,2,5,1,1,2.6269,"1","M"
"825",825,2,10,1,1,2.6265,"1","M"
"826",826,2,7,3,1,2.603,"3","M"
"827",827,2,9,1,1,2.5842,"1","M"
"828",828,2,12,1,1,2.569,"1","M"
"829",829,2,8,1,1,2.568,"1","M"
"830",830,2,8,1,1,2.555,"1","M"
"832",832,2,9,1,1,2.5396,"1","M"
"834",834,2,11,1,1,2.502,"1","M"
"835",835,2,7,3,1,2.496,"3","M"
"836",836,2,5,1,1,2.4848,"1","M"
"837",837,2,10,1,1,2.4796,"1","M"
"838",838,2,7,3,1,2.4732,"3","M"
"839",839,2,6,1,1,2.4703,"1","M"
"841",841,2,4,1,1,2.436,"1","M"
"843",843,2,12,1,1,2.4254,"1","M"
"844",844,2,6,1,1,2.4221,"1","M"
"845",845,2,4,3,1,2.4193,"3","M"
"846",846,2,4,3,1,2.4151,"3","M"
"847",847,2,2,1,1,2.4094,"1","M"
"848",848,2,6,1,1,2.409,"1","M"
"849",849,2,7,3,1,2.4,"3","M"
"850",850,2,4,1,1,2.4,"1","M"
"851",851,2,9,1,1,2.3826,"1","M"
"852",852,2,10,1,1,2.3697,"1","M"
"853",853,2,5,1,1,2.3689,"1","M"
"854",854,2,5,3,1,2.3632,"3","M"
"855",855,2,7,3,1,2.3571,"3","M"
"856",856,2,10,1,1,2.3504,"1","M"
"858",858,2,9,1,1,2.3468,"1","M"
"859",859,2,9,3,1,2.3456,"3","M"
"860",860,2,7,3,1,2.3423,"3","M"
"861",861,2,6,1,1,2.3414,"1","M"
"862",862,2,8,1,1,2.329,"1","M"
"863",863,2,4,1,1,2.3209,"1","M"
"864",864,2,7,3,1,2.3194,"3","M"
"865",865,2,4,4,1,2.319,"4","M"
"867",867,2,4,4,1,2.3154,"4","M"
"869",869,2,6,3,1,2.2992,"3","M"
"870",870,2,5,1,1,2.29,"1","M"
"871",871,2,6,3,1,2.289,"3","M"
"872",872,2,5,1,1,2.2888,"1","M"
"873",873,2,7,3,1,2.2852,"3","M"
"874",874,2,4,1,1,2.2779,"1","M"
"875",875,2,10,1,1,2.272,"1","M"
"876",876,2,5,1,1,2.2706,"1","M"
"878",878,2,5,1,1,2.255,"1","M"
"879",879,2,10,1,1,2.252,"1","M"
"880",880,2,7,3,1,2.251,"3","M"
"882",882,2,5,1,1,2.2494,"1","M"
"883",883,2,4,4,1,2.2451,"4","M"
"884",884,2,4,4,1,2.2393,"4","M"
"886",886,2,6,3,1,2.2339,"3","M"
"887",887,2,5,1,1,2.2302,"1","M"
"888",888,2,6,3,1,2.2302,"3","M"
"890",890,2,4,3,1,2.2184,"3","M"
"891",891,2,6,3,1,2.2135,"3","M"
"892",892,2,12,1,1,2.2048,"1","M"
"893",893,2,10,1,1,2.1835,"1","M"
"894",894,2,6,3,1,2.1727,"3","M"
"895",895,2,4,4,1,2.1721,"4","M"
"897",897,2,5,3,1,2.1564,"3","M"
"898",898,2,7,3,1,2.1554,"3","M"
"899",899,2,4,2,1,2.1478,"2","M"
"900",900,2,5,1,1,2.1454,"1","M"
"901",901,2,11,1,1,2.1439,"1","M"
"902",902,2,7,3,1,2.1304,"3","M"
"903",903,2,10,1,1,2.1282,"1","M"
"904",904,2,1,1,1,2.1271,"1","M"
"906",906,2,6,1,1,2.1238,"1","M"
"907",907,2,11,1,1,2.1196,"1","M"
"908",908,2,7,3,1,2.1129,"3","M"
"910",910,2,5,1,1,2.1114,"1","M"
"911",911,2,6,1,1,2.1047,"1","M"
"912",912,2,7,3,1,2.1038,"3","M"
"913",913,2,7,3,1,2.0966,"3","M"
"914",914,2,9,1,1,2.0756,"1","M"
"915",915,2,8,1,1,2.0749,"1","M"
"916",916,2,4,1,1,2.0739,"1","M"
"917",917,2,11,1,1,2.0737,"1","M"
"918",918,2,7,3,1,2.0617,"3","M"
"919",919,2,6,3,1,2.0602,"3","M"
"920",920,2,8,1,1,2.0575,"1","M"
"921",921,2,8,1,1,2.0431,"1","M"
"922",922,2,6,1,1,2.0397,"1","M"
"923",923,2,4,1,1,2.0371,"1","M"
"924",924,2,5,1,1,2.0327,"1","M"
"925",925,2,7,3,1,2.0273,"3","M"
"926",926,2,5,1,1,2.0221,"1","M"
"927",927,2,10,1,1,2.0191,"1","M"
"928",928,2,9,1,1,2.0055,"1","M"
"929",929,2,5,3,1,1.9916,"3","M"
"930",930,2,5,1,1,1.9895,"1","M"
"931",931,2,12,1,1,1.9881,"1","M"
"932",932,2,10,1,1,1.9869,"1","M"
"933",933,2,7,3,1,1.9832,"3","M"
"934",934,2,6,3,1,1.9804,"3","M"
"935",935,2,8,1,1,1.9753,"1","M"
"936",936,2,3,3,1,1.9749,"3","M"
"937",937,2,4,3,1,1.9736,"3","M"
"938",938,2,7,3,1,1.9686,"3","M"
"939",939,2,5,3,1,1.9477,"3","M"
"940",940,2,5,3,1,1.9355,"3","M"
"941",941,2,4,4,1,1.9303,"4","M"
"943",943,2,7,3,1,1.9115,"3","M"
"944",944,2,5,3,1,1.9009,"3","M"
"945",945,2,7,3,1,1.8922,"3","M"
"946",946,2,10,1,1,1.8892,"1","M"
"947",947,2,8,3,1,1.8816,"3","M"
"948",948,2,8,1,1,1.8812,"1","M"
"949",949,2,4,4,1,1.8762,"4","M"
"950",950,2,9,1,1,1.8723,"1","M"
"951",951,2,10,1,1,1.8715,"1","M"
"952",952,2,5,3,1,1.8639,"3","M"
"953",953,2,8,1,1,1.8637,"1","M"
"954",954,2,3,3,1,1.858,"3","M"
"955",955,2,8,1,1,1.8573,"1","M"
"956",956,2,11,1,1,1.8508,"1","M"
"957",957,2,12,1,1,1.8493,"1","M"
"958",958,2,4,3,1,1.8493,"3","M"
"959",959,2,4,3,1,1.849,"3","M"
"960",960,2,4,2,1,1.8437,"2","M"
"961",961,2,7,3,1,1.8413,"3","M"
"963",963,2,12,1,1,1.8365,"1","M"
"965",965,2,1,3,1,1.8265,"3","M"
"966",966,2,6,3,1,1.8201,"3","M"
"967",967,2,6,1,1,1.8173,"1","M"
"968",968,2,7,3,1,1.8169,"3","M"
"969",969,2,7,3,1,1.8149,"3","M"
"970",970,2,9,1,1,1.8121,"1","M"
"971",971,2,5,1,1,1.8105,"1","M"
"972",972,2,12,1,1,1.8052,"1","M"
"973",973,2,7,3,1,1.8042,"3","M"
"974",974,2,7,3,1,1.7939,"3","M"
"975",975,2,2,1,1,1.7916,"1","M"
"977",977,2,9,1,1,1.7814,"1","M"
"978",978,2,9,1,1,1.7798,"1","M"
"979",979,2,10,1,1,1.7679,"1","M"
"980",980,2,6,1,1,1.7654,"1","M"
"981",981,2,11,1,1,1.7638,"1","M"
"982",982,2,7,3,1,1.7584,"3","M"
"983",983,2,8,1,1,1.7573,"1","M"
"984",984,2,5,3,1,1.7569,"3","M"
"985",985,2,9,1,1,1.7565,"1","M"
"986",986,2,10,1,1,1.7509,"1","M"
"987",987,2,3,2,1,1.7441,"2","M"
"988",988,2,12,3,1,1.7403,"3","M"
"989",989,2,4,1,1,1.7374,"1","M"
"990",990,2,5,1,1,1.7279,"1","M"
"991",991,2,8,1,1,1.725,"1","M"
"992",992,2,8,1,1,1.7231,"1","M"
"993",993,2,4,1,1,1.7095,"1","M"
"994",994,2,4,2,1,1.7088,"2","M"
"995",995,2,5,1,1,1.6981,"1","M"
"996",996,2,5,1,1,1.6972,"1","M"
"997",997,2,4,2,1,1.6887,"2","M"
"998",998,2,4,3,1,1.6842,"3","M"
"999",999,2,10,1,1,1.6798,"1","M"
"1000",1000,2,7,3,1,1.6773,"3","M"
"1001",1001,2,6,3,1,1.6757,"3","M"
"1002",1002,2,4,2,1,1.6756,"2","M"
"1003",1003,2,4,3,1,1.6677,"3","M"
"1004",1004,2,10,1,1,1.6665,"1","M"
"1005",1005,2,9,1,1,1.6569,"1","M"
"1006",1006,2,6,3,1,1.647,"3","M"
"1008",1008,2,6,3,1,1.6369,"3","M"
"1009",1009,2,4,3,1,1.6362,"3","M"
"1010",1010,2,8,1,1,1.6339,"1","M"
"1011",1011,2,4,3,1,1.6271,"3","M"
"1012",1012,2,4,3,1,1.6181,"3","M"
"1013",1013,2,4,3,1,1.6029,"3","M"
"1014",1014,2,8,1,1,1.6019,"1","M"
"1015",1015,2,10,1,1,1.598,"1","M"
"1016",1016,2,3,2,1,1.5924,"2","M"
"1017",1017,2,7,3,1,1.5875,"3","M"
"1018",1018,2,3,3,1,1.5849,"3","M"
"1019",1019,2,5,3,1,1.5675,"3","M"
"1020",1020,2,8,1,1,1.5648,"1","M"
"1021",1021,2,4,3,1,1.5648,"3","M"
"1022",1022,2,4,4,1,1.5572,"4","M"
"1023",1023,2,10,1,1,1.5565,"1","M"
"1024",1024,2,4,3,1,1.556,"3","M"
"1025",1025,2,8,1,1,1.5558,"1","M"
"1026",1026,2,10,1,1,1.5537,"1","M"
"1027",1027,2,4,2,1,1.5511,"2","M"
"1028",1028,2,11,1,1,1.5495,"1","M"
"1029",1029,2,7,3,1,1.5489,"3","M"
"1030",1030,2,6,1,1,1.5076,"1","M"
"1031",1031,2,4,1,1,1.5064,"1","M"
"1032",1032,2,1,1,1,1.496,"1","M"
"1033",1033,2,5,1,1,1.4882,"1","M"
"1034",1034,2,7,3,1,1.4822,"3","M"
"1036",1036,2,6,1,1,1.4774,"1","M"
"1037",1037,2,11,1,1,1.4619,"1","M"
"1038",1038,2,4,4,1,1.4616,"4","M"
"1039",1039,2,5,1,1,1.4599,"1","M"
"1040",1040,2,9,1,1,1.4595,"1","M"
"1041",1041,2,5,1,1,1.4593,"1","M"
"1042",1042,2,9,1,1,1.4565,"1","M"
"1043",1043,2,4,3,1,1.4526,"3","M"
"1044",1044,2,8,1,1,1.4433,"1","M"
"1045",1045,2,6,3,1,1.4415,"3","M"
"1047",1047,2,4,3,1,1.436,"3","M"
"1048",1048,2,5,1,1,1.4353,"1","M"
"1050",1050,2,4,4,1,1.4265,"4","M"
"1051",1051,2,7,3,1,1.425,"3","M"
"1052",1052,2,6,1,1,1.4226,"1","M"
"1053",1053,2,6,3,1,1.4199,"3","M"
"1054",1054,2,4,1,1,1.4111,"1","M"
"1055",1055,2,4,2,1,1.4027,"2","M"
"1056",1056,2,9,1,1,1.378,"1","M"
"1057",1057,2,4,1,1,1.3639,"1","M"
"1058",1058,2,9,1,1,1.356,"1","M"
"1059",1059,2,3,3,1,1.354,"3","M"
"1060",1060,2,1,3,1,1.3431,"3","M"
"1061",1061,2,4,2,1,1.3344,"2","M"
"1062",1062,2,6,3,1,1.3344,"3","M"
"1064",1064,2,8,3,1,1.3296,"3","M"
"1065",1065,2,4,1,1,1.3225,"1","M"
"1066",1066,2,10,1,1,1.317,"1","M"
"1067",1067,2,6,3,1,1.3024,"3","M"
"1068",1068,2,4,3,1,1.2938,"3","M"
"1069",1069,2,6,3,1,1.2921,"3","M"
"1070",1070,2,3,3,1,1.2878,"3","M"
"1071",1071,2,9,1,1,1.2746,"1","M"
"1072",1072,2,11,1,1,1.274,"1","M"
"1073",1073,2,4,1,1,1.2738,"1","M"
"1074",1074,2,9,1,1,1.2643,"1","M"
"1075",1075,2,9,1,1,1.2627,"1","M"
"1076",1076,2,10,1,1,1.2578,"1","M"
"1077",1077,2,10,1,1,1.2577,"1","M"
"1078",1078,2,4,2,1,1.2571,"2","M"
"1079",1079,2,4,4,1,1.2553,"4","M"
"1080",1080,2,4,2,1,1.2548,"2","M"
"1081",1081,2,4,2,1,1.245,"2","M"
"1082",1082,2,11,1,1,1.2433,"1","M"
"1084",1084,2,9,3,1,1.2372,"3","M"
"1085",1085,2,9,1,1,1.2295,"1","M"
"1086",1086,2,9,1,1,1.2277,"1","M"
"1087",1087,2,2,1,1,1.2256,"1","M"
